id,price
1,115687.25107204539
2,220210.58076983097
3,631700.815942304
4,131029.46347525934
5,191955.3502799587
6,165861.57944360515
7,87931.1104404591
8,340503.5973114541
9,291431.3430774568
10,216470.03724468025
11,88353.68015374293
12,148690.08800263287
13,243682.46645139367
14,206411.9166216374
15,305610.7977109212
16,88052.74190533799
17,314286.0480011951
18,378970.2903800636
19,175086.86165821008
20,88464.45874306849
21,156732.36862016417
22,228429.27566494994
23,176092.52137326504
24,364855.7716882722
25,84850.83731050394
26,303146.77380122076
27,143749.0087809609
28,316745.22620986094
29,88555.3340597146
30,84509.52221913388
31,520561.7697191596
32,365294.98801319656
33,219904.26652316895
34,148805.80228679007
35,145774.0118691622
36,453731.6423419196
37,107199.29749234855
38,89196.93379538847
39,131815.49579009233
40,277189.1986673244
41,155211.01875487922
42,88555.3340597146
43,229198.12458962845
44,458019.7370994335
45,117559.59092969075
46,88565.24928446022
47,263327.29716865707
48,88052.74190533799
49,82690.70086494574
50,235574.09835625676
51,82690.70086494574
52,95174.416923763
53,1157773.0440163002
54,108442.95230263405
55,94804.86261479142
56,115449.79441004219
57,172691.8684839009
58,261616.1513902265
59,235901.27208046187
60,88166.18770370899
61,88565.24928446022
62,287523.07828416035
63,117278.2848290909
64,116540.21422386703
65,199133.91970941913
66,206295.98572529014
67,88555.3340597146
68,334217.1714372155
69,365182.2777992215
70,95836.25988503027
71,340503.5973114541
72,171661.04947105842
73,148647.03232814933
74,88555.3340597146
75,82690.70086494574
76,109639.78143618513
77,236307.25620615808
78,362269.2086814282
79,148688.92854113298
80,247963.11521752353
81,332284.4404053172
82,656491.0428597624
83,524584.7197228245
84,88052.74190533799
85,108442.95230263405
86,107199.29749234855
87,147927.1003354761
88,222619.174577434
89,233907.63255357798
90,204624.29144252886
91,265841.361418595
92,115449.79441004219
93,95174.416923763
94,84731.91672366514
95,206325.61199678393
96,107199.29749234855
97,461503.1905573836
98,89720.77715307103
99,90742.01439383227
100,313249.43422963377
101,86659.57153230747
102,118374.76456827299
103,115934.77201448294
104,1644837.83693782
105,126902.46102179986
106,89932.13728085866
107,81370.15408586402
108,204017.15968819195
109,309512.9172482819
110,88555.3340597146
111,125707.38140231589
112,281204.2104251213
113,117338.55352792048
114,274563.14028007345
115,200609.86277987805
116,117017.70305111712
117,117865.49978807464
118,236730.34055562544
119,149708.79441569027
120,88052.74190533799
121,82690.70086494574
122,84850.83731050394
123,261180.31395885706
124,88052.74190533799
125,168341.09899487108
126,273258.7175567568
127,126902.46102179986
128,428712.2335884298
129,170746.47441912553
130,82690.70086494574
131,108186.17444852542
132,150764.34346438776
133,117053.95545174654
134,117559.59092969075
135,148688.92854113298
136,206134.43220019224
137,170746.47441912553
138,82690.70086494574
139,88052.74190533799
140,88555.3340597146
141,205644.39216371684
142,206094.95056248363
143,82478.84711755229
144,303506.9522470582
145,86659.57153230747
146,262335.34780158696
147,125306.06220181403
148,615792.1005927614
149,793258.2382999909
150,236506.91480604286
151,89932.13728085866
152,263296.69203725655
153,126342.59219373898
